skills,experience,location,job_title
"Python, Java",3,remote,Software Developer
"Machine Learning, Python",2,onsite,Data Scientist
"React, Node.js",5,hybrid,Web Developer
"Java, C++",4,remote,Software Engineer
"JavaScript, HTML, CSS",1,onsite,Frontend Developer
"Deep Learning, Python",3,hybrid,Machine Learning Engineer
"SQL, Java",6,remote,Backend Developer
"Python, SQL, Data Science",4,onsite,Data Analyst
"React, JavaScript, Node.js",2,remote,Full Stack Developer
"Django, Python",3,hybrid,Backend Developer
